# NASA Exoplanet Archive pscomppars, as of 2026-09-08; slimmed by scripts/build-exoplanets.py
pl_name,hostname,ra,dec,sy_dist,pl_rade,pl_bmasse,pl_orbper,disc_year,discoverymethod,st_teff,st_rad,st_spectype
Kepler-1601 b,Kepler-1601,285.513,38.0798,644.456,0.82,0.477,2.20922,2016,Transit,5869,1.07,
Kepler-1922 b,Kepler-1922,292.33,37.9971,1344.29,2.291,5.86,13.2226,2021,Transit,5931,0.863,
HD 80653 b,HD 80653,140.339,14.3679,109.86,1.621,5.61,0.71958,2020,Transit,5959,1.199,G0 V
Kepler-1542 d,Kepler-1542,285.728,42.6545,399.114,0.87,0.59,5.99274,2016,Transit,5564,0.99,
Kepler-666 b,Kepler-666,298.457,48.7916,1508.71,2.4,6.35,4.49876,2016,Transit,5887,1.05,
Kepler-211 c,Kepler-211,285.439,43.1685,309.353,1.29,18.3,6.04045,2014,Transit,5123,0.816,
Kepler-203 c,Kepler-203,297.09,41.3881,703.302,2.47,749.9,5.37065,2014,Transit,5821,1.114,
GJ 674 b,GJ 674,262.17,-46.899,4.549,3.33,11.09,4.6938,2007,Radial Velocity,3600,0.365,M2.5
OGLE-TR-182 b,OGLE-TR-182,167.328,-61.0953,2501.75,12.666,320.995,3.9791,2007,Transit,5924,1.14,
HD 69830 c,HD 69830,124.601,-12.6364,12.559,3.46,11.8,31.56,2006,Radial Velocity,5385,0.887,K0V
GJ 3021 b,GJ 3021,4.06343,-79.8514,17.556,13.1,1071.04,133.71,2000,Radial Velocity,5540,0.9,G6 V
HD 221287 b,HD 221287,352.836,-58.2097,55.923,13.1,982.05,456.1,2007,Radial Velocity,6304,1.139,F7 V
HD 47536 b,HD 47536,99.449,-32.3394,122.536,12.6,2330,712.13,2002,Radial Velocity,4380,23.47,K1 III
HD 107148 b,HD 107148,184.806,-3.31999,49.416,9.6,66.741,48.056,2005,Radial Velocity,5797,1.169,G5 V
HD 179949 b,HD 179949,288.889,-24.1798,27.457,13.9,291.12,3.09251,2000,Radial Velocity,6168,1.267,F8 V
HD 188015 b,HD 188015,298.019,28.1,50.671,13.6,476.72,461.2,2004,Radial Velocity,5746,1.125,G5 IV
HD 27442 b,HD 27442,64.1205,-59.3029,18.27,13.5,495.8,428.1,2000,Radial Velocity,4846,3.18,K1/2III
HD 46375 b,HD 46375,98.3031,5.46251,29.553,10,71.8,3.02357,2000,Radial Velocity,5285,0.914,K1 IV-V
HAT-P-2 b,HAT-P-2,245.151,41.048,127.774,10.66,2866.81,5.63352,2007,Transit,6380,1.39,F8
HD 109749 b,HD 109749,189.317,-40.8122,63.082,11.1,85.814,5.23989,2005,Radial Velocity,5824,1.22,G3 V
HD 149143 b,HD 149143,248.213,2.08445,73.28,13.6,422.714,4.07182,2005,Radial Velocity,5856,1.44,G0
HD 224693 b,HD 224693,359.975,-22.428,93.501,14,222.481,26.6904,2006,Radial Velocity,5894,1.93,G2 V
HD 231701 b,HD 231701,293.018,16.4744,108.877,13.7,359.148,141.63,2007,Radial Velocity,6101,1.53,F8 V
HIP 14810 b,HIP 14810,47.8093,21.0971,50.48,13,1239.54,6.67389,2005,Radial Velocity,5544,1.07,G5
HIP 14810 d,HIP 14810,47.8093,21.0971,50.48,14.1,187.52,981.8,2009,Radial Velocity,5544,1.07,G5
HD 207832 b,HD 207832,328.152,-26.0272,58.929,14.2,177.985,160.07,2012,Radial Velocity,5726,0.89,G5 V
HD 37605 c,HD 37605,85.0074,6.05951,46.786,13.1,1013.88,2720,2012,Radial Velocity,5329,0.91,K0
HD 1605 c,HD 1605,5.13175,30.9751,88.805,13,1150.55,2149,2015,Radial Velocity,4915,3.49,K1 IV
HD 55696 b,HD 55696,108.062,-38.1746,77.969,12.9,1357.13,1827,2018,Radial Velocity,6012,1.52,G0 V
HD 148164 c,HD 148164,246.435,11.9191,77.197,12.8,1640,5062,2018,Radial Velocity,6032,1.34,F8
HD 211810 b,HD 211810,334.529,61.135,64.635,14,212.946,1558,2018,Radial Velocity,5652,1.13,G5
HD 221416 b,HD 221416,353.033,-21.8012,95.548,9.17,60.5,14.2767,2019,Transit,5080,2.943,K0 IV/V
Kepler-595 c,Kepler-595,294.57,50.673,643.009,1.009,3.3,12.386,2020,Transit,5138,0.821,
Kepler-595 b,Kepler-595,294.57,50.673,643.009,3.708,17.4,25.3029,2016,Transit,5138,0.821,
PSR B1257+12 b,PSR B1257+12,195.015,12.6823,600,0.338,0.02,25.262,1994,Pulsar Timing,,,
PSR B1257+12 c,PSR B1257+12,195.015,12.6823,600,1.91,4.3,66.5419,1992,Pulsar Timing,,,
OGLE-TR-211 b,OGLE-TR-211,160.06,-62.4555,1515.26,15.244,327.351,3.67724,2007,Transit,6325,1.64,
Lupus-TR-3 b,Lupus-TR-3,232.577,-42.98,773.409,9.976,257.431,3.91405,2007,Transit,5000,0.82,
2MASS J04414489+2301513 b,2MASS J04414489+2301513,70.4371,23.0309,120.424,12.6,2383.6,,2010,Imaging,2936,0.232,M8.5
WASP-21 b,WASP-21,347.493,18.3962,258.426,11.99,95.345,4.32248,2010,Transit,5800,1.06,G3 V
CoRoT-10 b,CoRoT-10,291.064,0.74601,338.386,10.87,874,13.2406,2010,Transit,5075,0.79,K1 V
CoRoT-12 b,CoRoT-12,100.766,-1.29644,1126.37,16.14,291.438,2.82804,2010,Transit,5675,1.116,
CoRoT-13 b,CoRoT-13,102.721,-5.08646,1148.93,9.92,415.704,4.03519,2010,Transit,5945,1.01,G0 V
HD 285968 b,HD 285968,70.7354,18.9534,9.47,2.83,8.4,8.7836,2008,Radial Velocity,3703,0.478,M2 V
HD 205739 b,HD 205739,324.535,-31.7378,92.509,13.6,435.41,279.8,2008,Radial Velocity,6176,1.33,F7 V
CoRoT-3 b,CoRoT-3,292.055,0.12184,768.771,11.32,6883.91,4.2568,2008,Transit,6740,1.56,F3 V
HD 16417 b,HD 16417,39.2441,-34.5791,25.394,5,22.1,17.24,2008,Radial Velocity,5841,1.64,G1 V
AB Pic b,AB Pic,94.8039,-58.0541,50.047,12.3,4290.5,,2005,Imaging,5285,0.999,K2 V
CT Cha b,CT Cha,166.037,-76.4554,190.72,24.66,5403,,2007,Imaging,4403,1.68,K5e
HD 9446 b,HD 9446,23.335,29.2649,50.35,14,222.472,30.052,2009,Radial Velocity,5793,1,G5 V
Kepler-4 b,Kepler-4,285.615,50.1358,487.916,4.002,24.472,3.21346,2009,Transit,5857,1.487,
GJ 876 c,GJ 876,343.324,-14.2666,4.675,14,226.985,30.0881,2000,Radial Velocity,3294,0.3,M2.5V
HIP 79431 b,HIP 79431,243.174,-18.8764,14.532,13.4,667.415,111.7,2009,Radial Velocity,3191,0.479,M3 V
TOI-907.01,TOI-907,262.183,-62.8404,312.529,9.616,67,4.58491,2024,Transit,6272,2.06,
WASP-31 b,WASP-31,169.439,-19.0548,383.829,17.363,151.916,3.40591,2010,Transit,6302,1.252,
24 Sex b,24 Sex,155.868,-0.9024,72.069,13.4,632.46,452.8,2010,Radial Velocity,5098,4.9,K0 IV
WASP-37 b,WASP-37,221.944,1.06502,392.791,13.002,572.07,3.57747,2010,Transit,5800,1.003,
Kepler-9 d,Kepler-9,285.574,38.4008,628.257,1.64,8.415,1.59285,2010,Transit,5777,1.02,
KOI-217 b,KOI-217,294.865,46.2858,914.699,12.442,,3.90512,2010,Transit,5545,0.86,
HD 90156 b,HD 90156,155.98,-29.6451,21.95,4.43,17.98,49.77,2011,Radial Velocity,5599,0.92,G5V
HD 177830 c,HD 177830,286.336,25.9204,62.767,7.87,47.672,110.9,2010,Radial Velocity,4949,2.62,K0
ups And b,ups And,24.1984,41.4038,13.405,14,218.531,4.61703,1996,Radial Velocity,6157,1.56,F8 V
ups And d,ups And,24.1984,41.4038,13.405,12.5,3257.74,1276.46,1999,Radial Velocity,6157,1.56,F8 V
OGLE-2017-BLG-0373L b,OGLE-2017-BLG-0373L,269.329,-31.9517,5915,14,127,,2018,Microlensing,,,
K2-269 b,K2-269,130.155,13.0147,360.76,1.57,3.09,4.14497,2018,Transit,6209,1.45,
TOI-1249 b,TOI-1249,200.562,66.3085,139.49,3.271,11.9,13.0792,2024,Transit,5497,0.979,
Kepler-106 d,Kepler-106,300.864,44.3376,444.322,0.95,8.1,23.9802,2014,Transit,5858,1.04,
Kepler-1031 b,Kepler-1031,296.09,48.9554,682.882,0.87,0.59,1.22622,2016,Transit,6011,1.12,
Kepler-948 b,Kepler-948,293.3,41.5233,868.017,1.85,4.08,7.76847,2016,Transit,5679,0.94,
OGLE-2014-BLG-0319L b,OGLE-2014-BLG-0319L,266.961,-33.935,7730,14.1,181.162,,2022,Microlensing,,,M
OGLE-2018-BLG-1011L b,OGLE-2018-BLG-1011L,269.014,-29.0829,7100,13.5,570,,2019,Microlensing,,,
WASP-61 b,WASP-61,75.2997,-26.0541,488.66,15.805,851.784,3.8559,2012,Transit,6250,1.55,
KMT-2022-BLG-0303L b,KMT-2022-BLG-0303L,268.033,-22.6891,6570,14.2,163.046,,2024,Microlensing,,,
OGLE-2019-BLG-0954L b,OGLE-2019-BLG-0954L,267.913,-29.611,3630,12.3,4513.16,,2021,Microlensing,,,
WASP-123 b,WASP-123,289.479,-32.8601,197.996,15.132,285.729,2.97764,2016,Transit,5740,1.285,G5
Kepler-1882 b,Kepler-1882,290.664,43.4998,443.371,1.487,2.81,13.7873,2021,Transit,5691,1.458,
KOI-984 b,KOI-984,291.049,36.8401,252.667,4.3,17.1,4.28818,2022,Transit,5295,0.818,
Kepler-1573 b,Kepler-1573,292.988,49.485,1455.36,1.2,1.87,2.61576,2016,Transit,5808,1,
Kepler-802 b,Kepler-802,286.016,45.0077,780.585,3.54,12.3,40.0588,2016,Transit,5507,0.9,
KMT-2023-BLG-1454L b,KMT-2023-BLG-1454L,267.62,-29.6227,7220,14.1,200.232,,2024,Microlensing,,,
Kepler-1440 b,Kepler-1440,285.347,48.3122,1115.35,1.26,2.13,39.8595,2016,Transit,5698,0.96,
WASP-130 b,WASP-130,203.106,-42.4753,172.256,9.976,390.931,11.551,2016,Transit,5625,0.96,G6
OGLE-2017-BLG-1049L b,OGLE-2017-BLG-1049L,269.534,-27.1442,5670,12.8,1760,,2020,Microlensing,,,
Kepler-949 b,Kepler-949,298.608,46.4537,486.105,2.91,8.8,8.68931,2016,Transit,5403,0.86,
KMT-2023-BLG-1592L b,KMT-2023-BLG-1592L,268.679,-29.0084,7200,14.1,184.34,,2026,Microlensing,,,
OGLE-2019-BLG-0362L b,OGLE-2019-BLG-0362L,263.465,-24.8104,5830,13.1,1036.12,,2022,Microlensing,,,
KMT-2017-BLG-1057L b,KMT-2017-BLG-1057L,265.486,-22.3351,6500,5.19,23.5,,2024,Microlensing,,,
KMT-2025-BLG-1616L b,KMT-2025-BLG-1616L,267.779,-30.1391,7500,7.34,42.32,,2026,Microlensing,,,M V
Wolf 327 b,Wolf 327,148.378,35.5705,28.532,1.24,2.53,0.57347,2024,Transit,3542,0.406,M2.5 V
Kepler-62 f,Kepler-62,283.213,45.3497,300.874,1.41,35,267.291,2013,Transit,4925,0.64,K2 V
WASP-53 c,WASP-53,31.9092,-20.6618,201.338,,5196.52,2840,2017,Radial Velocity,4953,0.798,
KMT-2023-BLG-1743L b,KMT-2023-BLG-1743L,269.165,-28.8549,7130,12.1,6356.57,,2024,Microlensing,,,
TOI-5789 c,TOI-5789,302.773,16.1897,20.458,2.86,5,12.9277,2026,Transit,5185,0.833,K1 V
MOA-2019-BLG-008L b,MOA-2019-BLG-008L,267.983,-29.9897,2700,12.2,5720.91,,2022,Microlensing,,,
OGLE-2016-BLG-1598L b,OGLE-2016-BLG-1598L,270.191,-29.1754,5910,13.6,120.775,,2024,Microlensing,,,
OGLE-2017-BLG-1275L b,OGLE-2017-BLG-1275L,267.915,-29.498,7690,12.8,1875.19,,2024,Microlensing,,,
HATS-44 b,HATS-44,84.3268,-27.9726,446.035,11.96,177.985,2.7439,2018,Transit,5080,0.847,
HD 160691 b,HD 160691,266.036,-51.8349,15.598,,1366.66,645,2000,Radial Velocity,5773,1.33,G3 IV-V
Kepler-132 b,Kepler-132,283.236,41.343,349.549,1.21,1.92,6.1782,2014,Transit,6003,1.178,
KMT-2021-BLG-0192L b,KMT-2021-BLG-0192L,268.105,-30.0087,5120,6.56,34.961,,2022,Microlensing,,,
Kepler-49 b,Kepler-49,292.295,40.5918,311.222,2.579,9.77,7.2,2012,Transit,4096,0.618,M1 V
KMT-2016-BLG-2364L b,KMT-2016-BLG-2364L,265.716,-27.4356,6440,13,1250,,2020,Microlensing,,,
Kepler-218 c,Kepler-218,295.413,46.2666,656.38,3.14,10,44.6996,2014,Transit,5502,1.063,
GJ 328 c,GJ 328,133.782,1.542,20.527,4.91,21.4,241.8,2023,Radial Velocity,3897,0.63,M0.0
K2-212 b,K2-212,18.4241,3.09707,109.218,2.65,7.51,9.79565,2018,Transit,4349,0.678,
AU Mic e,AU Mic,311.291,-31.3424,9.722,4.87,21.1,33.11,2025,Radial Velocity,3665,0.82,M1 V
AU Mic d,AU Mic,311.291,-31.3424,9.722,1.02,1.053,12.736,2023,Transit Timing Variations,3678,0.744,M1 V
GJ 806 b,GJ 806,311.27,44.5002,12.044,1.331,1.9,0.92632,2023,Transit,3600,0.414,M1.5 V
GJ 806 c,GJ 806,311.27,44.5002,12.044,2.28,5.8,6.64064,2023,Radial Velocity,3600,0.414,M1.5 V
HD 110067 b,HD 110067,189.839,20.0273,32.158,2.2,5.69,9.11368,2023,Transit,5266,0.788,K0.0 V
HD 110067 c,HD 110067,189.839,20.0273,32.158,2.388,6.3,13.6737,2023,Transit,5266,0.788,K0.0 V
HD 110067 d,HD 110067,189.839,20.0273,32.158,2.852,8.52,20.5196,2023,Transit,5266,0.788,K0.0 V
HD 110067 e,HD 110067,189.839,20.0273,32.158,1.94,3.9,30.7931,2023,Transit,5266,0.788,K0.0 V
HD 110067 f,HD 110067,189.839,20.0273,32.158,2.601,5.04,41.0585,2023,Transit,5266,0.788,K0.0 V
HD 110067 g,HD 110067,189.839,20.0273,32.158,2.607,8.4,54.7699,2023,Transit,5266,0.788,K0.0 V
GJ 341 b,GJ 341,140.399,-60.2812,10.454,0.88,4,7.57686,2025,Transit,3770,0.507,M1
TOI-6894 b,TOI-6894,173.469,12.4511,73.813,9.584,53.395,3.37077,2025,Transit,3007,0.228,
IRAS 04125+2902 b,IRAS 04125+2902,63.9283,29.1665,159.244,10.738,80.8,8.83498,2024,Transit,4080,1.45,
HIP 67522 c,HIP 67522,207.526,-40.8359,127.28,7.936,48.3,14.3349,2024,Transit,5675,1.38,G1 V
Kepler-51 e,Kepler-51,296.48,49.9376,783.831,2.18,5.4,264.284,2024,Transit Timing Variations,5674,0.87,
BD+05 4868 A b,BD+05 4868 A,326.861,6.60532,43.569,,6.2,1.27187,2025,Transit,4596,0.69,K V
TOI-771 c,TOI-771,164.114,-72.9852,25.279,1.5,2.87,7.61,2025,Radial Velocity,3370,0.232,M3
TOI-2076 e,TOI-2076,217.392,39.7904,41.909,1.301,4.7,3.02238,2025,Transit,5187,0.758,K V
L 98-59 f,L 98-59,124.533,-68.3145,10.619,1.48,2.8,23.064,2025,Radial Velocity,3415,0.316,M3 V
HIP 41378 g,HIP 41378,126.616,10.0804,106.289,2.5,6.81,63.19,2025,Radial Velocity,6290,1.3,F6
55 Cnc B b,55 Cnc B,133.168,28.3153,12.477,1.69,3.5,6.7994,2025,Radial Velocity,3286,0.274,M4.5 V
55 Cnc B c,55 Cnc B,133.168,28.3153,12.477,2.16,5.3,33.747,2025,Radial Velocity,3286,0.274,M4.5 V
GJ 3090 c,GJ 3090,20.4384,-46.7147,22.475,3.14,10,15.9407,2026,Radial Velocity,3707,0.516,M2 V
TOI-4336 A c,TOI-4336 A,206.107,-40.3374,22.546,1.251,1.55,7.58727,2026,Transit,3307,0.326,M3.5 V
TOI-260 b,TOI-260,4.77302,-9.96615,20.185,1.71,4.23,13.4758,2024,Transit,4026,0.607,K8 V
Kepler-12 b,Kepler-12,286.243,50.0404,881.386,19.661,137.303,4.43796,2011,Transit,5947,1.483,
KOI-94 b,KOI-94,297.333,41.8911,477.052,1.71,10.5,3.74321,2013,Transit,6182,1.52,
Kepler-167 d,Kepler-167,292.659,38.3456,341.908,1.238,2.06,21.8038,2016,Transit,4884,0.749,K4
Kepler-51 d,Kepler-51,296.48,49.9376,783.831,9.7,7.6,130.194,2014,Transit,6018,0.94,
Kepler-51 c,Kepler-51,296.48,49.9376,783.831,9,4,85.312,2012,Transit,6018,0.94,
KMT-2022-BLG-1818L c,KMT-2022-BLG-1818L,270.799,-27.4811,5300,13.2,114.418,,2026,Microlensing,,,
Qatar-8 b,Qatar-8,157.412,70.5271,281.498,14.404,117.915,3.71495,2019,Transit,5738,1.315,G0 V
KMT-2018-BLG-0885L b,KMT-2018-BLG-0885L,268.966,-28.5134,6890,11.9,9217.02,,2023,Microlensing,,,
KMT-2016-BLG-2321L b,KMT-2016-BLG-2321L,264.058,-25.5249,3580,13.8,301.937,,2024,Microlensing,,,
Kepler-74 b,Kepler-74,293.093,41.3555,1177.55,10.76,200.22,7.34071,2013,Transit,6000,1.12,F8 V
OGLE-2017-BLG-0482L b,OGLE-2017-BLG-0482L,269.049,-30.5284,5800,2.95,9,,2018,Microlensing,,,
PSR B0329+54 b,PSR B0329+54,53.2473,54.5792,504.933,1.22,1.97,10140,2017,Pulsar Timing,,,
K2-140 b,K2-140,188.137,-9.60761,347.917,13.563,295.58,6.56919,2017,Transit,5585,1.06,G6 V
HD 184010 c,HD 184010,292.84,26.6173,60.799,11.8,95.349,484.3,2022,Radial Velocity,4971,4.86,K0 III-IV
EPIC 201595106 b,EPIC 201595106,183.72,1.96817,232.1,1.565,7.67,0.87724,2021,Transit,5679,0.98,
TOI-1203 e,TOI-1203,168.227,-34.4069,64.994,7.31,42.1,204.59,2025,Radial Velocity,5737,1.179,G3 V
Kepler-1503 b,Kepler-1503,293.727,42.8067,1225.57,2.27,5.77,96.1699,2016,Transit,5069,0.74,
Kepler-1781 b,Kepler-1781,291.711,42.3415,962.63,2.381,6.26,4.88753,2021,Transit,5568,0.957,
Kepler-57 c,Kepler-57,293.641,44.6571,644.14,2.196,6.86,11.6,2012,Transit,5188,0.826,
Kepler-1124 b,Kepler-1124,286.594,37.8913,289.899,1.28,2.18,2.85235,2016,Transit,3658,0.34,
Kepler-1581 b,Kepler-1581,287.371,39.6036,493.175,0.8,0.437,6.28385,2016,Transit,6022,1.23,
K2-136 c,K2-136,67.4129,22.8826,59.247,3,18.1,17.3072,2017,Transit,4500,0.677,K5 V
HD 39091 b,HD 39091,84.2993,-80.4646,18.27,12.3,4481.38,2088.8,2001,Radial Velocity,5998,1.17,G0 V
LHS 1815 b,LHS 1815,91.09,-55.3115,29.842,1.088,1.58,3.81433,2020,Transit,3643,0.501,M1
Kepler-464 b,Kepler-464,294.835,48.9823,667.604,3.3,10.9,7.25697,2016,Transit,5933,1.59,
Kepler-1580 b,Kepler-1580,285.969,41.3635,1002.02,2.11,5.1,56.6449,2016,Transit,6228,2.15,
Kepler-198 d,Kepler-198,290.673,38.691,495.358,1.53,2.96,1.31184,2016,Transit,5636,0.93,
55 Cnc b,55 Cnc,133.147,28.3298,12.585,13.9,263.978,14.6516,1996,Radial Velocity,5198,0.98,G8 V
55 Cnc c,55 Cnc,133.147,28.3298,12.585,8.51,54.474,44.3936,2004,Radial Velocity,5198,0.98,G8 V
55 Cnc d,55 Cnc,133.147,28.3298,12.585,13,1232.49,4799,2002,Radial Velocity,5198,0.98,G8 V
GJ 436 b,GJ 436,175.551,26.7031,9.753,4.17,22.1,2.64388,2004,Radial Velocity,3586,0.455,M2.5 V
HD 50554 b,HD 50554,103.678,24.2451,31.166,12.8,1859.3,1240,2002,Radial Velocity,6050,1.02,F8 V
HAT-P-12 b,HAT-P-12,209.389,43.4933,142.751,10.749,67.059,3.21306,2009,Transit,4650,0.701,K4
HAT-P-13 b,HAT-P-13,129.882,47.3519,246.81,14.258,270.462,2.91625,2009,Transit,5653,1.756,G4
HAT-P-13 c,HAT-P-13,129.882,47.3519,246.81,12.3,4538.42,446.27,2009,Radial Velocity,5653,1.756,G4
TOI-3053 b,TOI-3053,148.573,-64.2969,337.627,13.563,270.154,2.992,2026,Transit,5378,0.97,G8-K0 V
HD 50554 c,HD 50554,103.678,24.2451,31.166,1.31,5.3,5.96936,2026,Transit,5968,1.146,F8 V
HD 50554 d,HD 50554,103.678,24.2451,31.166,1.41,10.4,28.0694,2026,Transit,5968,1.146,F8 V
55 Cnc e,55 Cnc,133.147,28.3298,12.585,1.875,7.99,0.73655,2004,Radial Velocity,5172,0.943,G8 V
55 Cnc f,55 Cnc,133.147,28.3298,12.585,7.59,44.812,260.58,2007,Radial Velocity,5198,0.98,G8 V
GJ 1214 b,GJ 1214,258.831,4.96068,14.643,2.733,8.41,1.5804,2009,Transit,3101,0.216,M4 V
HAT-P-14 b,HAT-P-14,260.116,38.2422,222.663,15.917,1093.34,4.62767,2010,Transit,6600,1.82,F5 V
HAT-P-17 b,HAT-P-17,324.536,30.4882,92.383,11.769,184.341,10.3385,2012,Transit,5246,0.87,K
HAT-P-17 c,HAT-P-17,324.536,30.4882,92.383,13.1,1080.6,5584,2012,Radial Velocity,5337,0.839,K
HAT-P-18 b,HAT-P-18,256.346,33.0123,161.4,10.705,55.525,5.50803,2010,Transit,4870,0.717,K2
