# NASA Exoplanet Archive pscomppars, as of 2026-09-08; slimmed by scripts/build-exoplanets.py
pl_name,hostname,ra,dec,sy_dist,pl_rade,pl_bmasse,pl_orbper,disc_year,discoverymethod,st_teff,st_rad,st_spectype
Kepler-1701 b,Kepler-1701,286.609,41.8893,584.142,2.222,5.57,169.134,2020,Transit,5146,0.84,
Kepler-1835 b,Kepler-1835,280.315,43.9857,1404.38,3.534,12.2,11.9641,2021,Transit,5903,0.961,
Kepler-1024 b,Kepler-1024,291.951,38.2516,1087.4,3.91,14.5,66.4162,2016,Transit,5143,0.78,
Kepler-1545 b,Kepler-1545,298.899,47.4631,729.964,2.7,7.75,163.692,2016,Transit,5201,0.8,
Kepler-1774 b,Kepler-1774,288.574,40.9886,816.592,3.182,10.2,59.7708,2021,Transit,6214,1.122,
KOBE-1 b,KOBE-1,19.166,25.331,23.972,2.91,8.8,8.5399,2025,Radial Velocity,4135,0.619,K7 V
Kepler-1852 b,Kepler-1852,288.03,40.3442,772.481,1.886,4.22,7.97094,2021,Transit,5237,0.826,
Kepler-1196 b,Kepler-1196,292.37,43.9109,922.333,2.23,5.6,66.1849,2016,Transit,5756,0.97,
TOI-1221 b,TOI-1221,107.921,-65.5089,138.411,2.91,1112.4,91.6828,2023,Transit,5592,1.031,
Kepler-324 c,Kepler-324,286.471,49.6491,501.574,3.15,6.2,51.8056,2014,Transit,5194,0.84,
Kepler-1122 b,Kepler-1122,288.281,46.3409,1230.42,2.04,4.82,42.1917,2016,Transit,5544,0.89,
Kepler-1826 b,Kepler-1826,292.77,48.8999,336.952,1.475,2.78,1.61536,2021,Transit,3821,0.486,
HD 134606 c,HD 134606,228.81,-70.5203,26.791,3.37,11.31,58.883,2024,Radial Velocity,5576,1.158,G5IV
TIC 150070085 b,TIC 150070085,110.143,53.547,204.368,3.62,12.8,10.4742,2026,Transit,5999,1.086,
HIP 75092 b,HIP 75092,230.172,-25.9911,81.67,13.5,568.913,926.4,2021,Radial Velocity,4891,4.53,K0 III
Kepler-828 b,Kepler-828,286.887,42.4712,575.322,1.51,2.89,0.56786,2016,Transit,5039,0.77,
HD 5278 b,HD 5278,12.5468,-83.7438,57.585,2.45,7.8,14.3392,2021,Transit,6203,1.194,F V
Kepler-1157 b,Kepler-1157,283.121,43.5256,342.144,1.09,1.32,4.45743,2016,Transit,4679,0.71,
Kepler-1610 b,Kepler-1610,295.905,45.4054,864.331,1.61,3.22,8.70182,2016,Transit,5383,0.87,
Kepler-1245 c,Kepler-1245,290.744,43.2608,805.936,1.44,2.67,2.93658,2016,Transit,5306,0.83,
Kepler-297 d,Kepler-297,283.209,48.7776,692.14,32.6,,150.019,2023,Transit,5618,0.897,
Kepler-431 b,Kepler-431,281.112,43.2278,486.546,0.764,0.37,6.803,2015,Transit,6004,1.092,
DMPP-4 b,DMPP-4,293.583,51.2358,25.328,3.53,12.2,3.4982,2023,Radial Velocity,6400,1.38,F5-F8 V
Kepler-184 d,Kepler-184,291.952,43.0746,610.326,2.49,6.76,29.0224,2014,Transit,5788,0.873,
Kepler-1140 b,Kepler-1140,281.694,46.9465,656.48,2.77,8.1,24.0863,2016,Transit,4850,0.73,
TOI-1799 b,TOI-1799,167.233,34.303,62.127,1.642,4,7.09457,2024,Transit,5690,0.957,
Kepler-1696 b,Kepler-1696,295.576,42.0234,1506.36,2.81,8.29,65.9409,2020,Transit,5712,1.198,
Kepler-928 b,Kepler-928,289.921,41.5428,508.809,1.59,3.15,3.93246,2016,Transit,4700,0.7,
Kepler-153 c,Kepler-153,282.461,48.257,459.368,2.53,6.94,46.9023,2014,Transit,5404,0.892,
HD 73256 c,HD 73256,129.095,-30.0373,36.708,12.2,5085.26,2690,2023,Radial Velocity,5570,0.945,G8 IV
HD 175541 b,HD 175541,283.92,4.26493,129.603,14.1,190.062,298.43,2007,Radial Velocity,5013,4.19,G8 IV
HD 219134 g,HD 219134,348.337,57.1696,6.531,3.28,10.806,94.2,2015,Radial Velocity,4913,0.77,K3 V
Kepler-708 b,Kepler-708,293.816,42.2125,1394.22,2.93,8.91,3.16789,2016,Transit,5692,0.96,
WASP-54 b,WASP-54,205.454,-0.12817,251.303,17.71,187.52,3.69364,2012,Transit,6100,1.76,F9
K2-250 b,K2-250,185.032,-8.97574,414.708,2.713,7.81,4.01392,2018,Transit,5003,0.797,
Kepler-1325 b,Kepler-1325,285.017,42.0853,973.368,2.86,8.55,33.8787,2016,Transit,5550,0.91,
Kepler-703 b,Kepler-703,299.187,41.7427,1156.83,8.2,51.1,4.58352,2016,Transit,6185,1.27,
TOI-1533 c,TOI-1533,355.247,57.4852,100.051,7.5,36.6,8.06379,2026,Transit,5146,0.849,
Kepler-957 b,Kepler-957,290.156,48.819,824.688,5.5,25.9,5.90741,2016,Transit,4963,0.75,
TOI-3856 b,TOI-3856,145.223,27.9502,314.443,13.596,171.627,2.0436,2025,Transit,5622,1.055,
Kepler-1740 b,Kepler-1740,293.874,38.9224,1061.77,3.323,11,8.1724,2021,Transit,5705,0.905,
Kepler-176 d,Kepler-176,294.668,43.8532,527.321,2.51,1.72,25.752,2014,Transit,5232,0.891,
K2-150 b,K2-150,18.3444,8.98743,102.483,2,4.66,10.5936,2018,Transit,3499,0.436,M2.5 V
Kepler-307 b,Kepler-307,297.795,40.4176,575.581,2.43,7.44,10.4208,2013,Transit,5367,0.814,
Kepler-755 c,Kepler-755,296.861,41.0973,399.034,1.26,2.13,2.85313,2016,Transit,5043,0.77,
Kepler-607 c,Kepler-607,291.057,44.6323,519.122,2.76,8.05,39.6768,2021,Transit,5244,0.888,
TOI-540 b,TOI-540,76.3097,-47.9375,14.002,0.903,0.674,1.23915,2020,Transit,3216,0.19,M V
K2-320 b,K2-320,163.252,5.30648,108.74,2.62,7.37,1.995,2020,Transit,3157,0.3,
Kepler-1523 b,Kepler-1523,296.054,45.827,865.596,1.58,3.12,0.93875,2016,Transit,5708,0.96,
GJ 463 b,GJ 463,185.744,64.0324,18.355,13.1,1080.62,3459,2022,Radial Velocity,3563,0.483,M3.0 V
Kepler-62 c,Kepler-62,283.213,45.3497,300.874,0.54,4,12.4417,2013,Transit,4925,0.64,K2 V
HD 222582 b,HD 222582,355.464,-5.98624,42.159,12.6,2660.24,572.38,1999,Radial Velocity,5790,1.13,G5 V
Kepler-210 c,Kepler-210,292.503,43.0832,232.75,3.62,12.8,7.97251,2014,Transit,4559,0.65,M0 V
Kepler-1551 b,Kepler-1551,295.786,39.9079,1463.72,2.66,7.56,24.4974,2016,Transit,6136,1.22,
TIC 188624430 b,TIC 188624430,258.557,53.706,300.743,3.648,12.9,6.2186,2026,Transit,5369,0.787,
Kepler-1174 b,Kepler-1174,281.831,42.2989,1408.75,1.59,3.15,6.89225,2016,Transit,5936,1.04,
Kepler-269 c,Kepler-269,290.215,41.776,2257.32,1.69,3.5,8.1279,2014,Transit,5847,0.959,
Kepler-607 b,Kepler-607,291.057,44.6323,519.122,0.87,0.59,0.63816,2016,Transit,5196,0.8,
Kepler-1981 b,Kepler-1981,287.975,38.7403,659.395,9.23,62.5,453.542,2023,Transit,5874,3.006,
TOI-6041 c,TOI-6041,46.061,43.5577,72.473,10.5,77.9,88,2025,Radial Velocity,5445,0.879,G7
HD 109833 c,HD 109833,189.776,-74.574,79.556,2.59,7.22,13.9002,2022,Transit,5881,1,
Kepler-1082 b,Kepler-1082,289.359,50.5984,739.557,1.12,1.46,1.54321,2016,Transit,5923,1.14,
Kepler-431 d,Kepler-431,281.112,43.2278,486.546,1.11,1.41,11.922,2015,Transit,6004,1.092,
WASP-170 b,WASP-170,135.416,-20.7204,305.603,12.285,508.528,2.34478,2018,Transit,5600,0.938,
K2-74 b,K2-74,339.919,-8.71457,377.822,2.31,5.95,19.5666,2016,Transit,6060,0.98,
TOI-1246 d,TOI-1246,251.116,70.43,169.422,3.431,5.4,18.6549,2022,Transit,5213,0.865,K V
Kepler-372 d,Kepler-372,291.256,49.2589,1493.95,1.69,3.5,30.0926,2014,Transit,6509,1.137,
HD 25723 b,HD 25723,61.0947,-12.7922,114.816,13.3,794.571,457.01,2020,Radial Velocity,4766,13.76,K1 III
TOI-7155 b,TOI-7155,12.4454,79.2879,144.751,2.408,6.38,3.8949,2026,Transit,4673,0.671,
Kepler-84 b,Kepler-84,298.252,40.4961,1023.9,2.23,40,8.726,2012,Transit,6039,1.43,
TOI-3353.01,TOI-3353,106.53,-75.8196,78.758,2.667,7.59,4.6658,2024,Transit,6365,1.021,
Kepler-1555 b,Kepler-1555,287.635,45.716,2013.27,1.61,3.22,8.10502,2016,Transit,5866,1.06,
Kepler-1725 b,Kepler-1725,294.374,40.1946,558.652,2.813,8.31,16.7199,2021,Transit,6020,1.085,
TOI-2104 b,TOI-2104,151.612,83.0878,76.742,1.529,2.95,5.90437,2026,Transit,4856,0.724,
Kepler-120 b,Kepler-120,287.892,39.3391,388.63,2.15,8.5,6.3125,2014,Transit,4096,0.534,M0 V
Kepler-627 b,Kepler-627,292.104,39.7679,984.307,3.73,13.4,40.6994,2016,Transit,6424,1.49,
Kepler-1326 b,Kepler-1326,296.222,39.2689,698.326,4.18,16.3,42.3514,2016,Transit,6725,1.74,
TOI-1184 b,TOI-1184,272.205,60.6788,58.595,2.39,6.8,5.74843,2024,Transit,4534,0.69,
G 192-15 b,G 192-15,90.6221,49.8619,9.531,1.02,1.03,2.27476,2025,Radial Velocity,2999,0.171,M5.0 V
HATS-61 b,HATS-61,61.6578,-25.3497,679.761,13.395,1080.62,7.81795,2018,Transit,5542,1.664,
Kepler-684 b,Kepler-684,290.87,38.2736,1731.27,3.36,11.2,6.7703,2016,Transit,5493,0.86,
WASP-159 b,WASP-159,68.1365,-38.9683,715.383,15.468,174.806,3.8404,2018,Transit,6120,2.11,F9
K2-26 b,K2-26,94.2064,24.5958,99.05,2.67,7.61,14.5665,2016,Transit,3785,0.52,M1.0 V
TIC 9344899 b,TIC 9344899,72.7939,-8.44732,532.228,9.16,6170,8.58216,2026,Transit,5800,1.06,G3 V
WASP-194 b,WASP-194,295.388,56.2178,476.831,15.48,373.131,3.18339,2025,Transit,6405,1.409,
Kepler-1956 b,Kepler-1956,294.621,49.8942,360.468,1.089,1.32,5.94372,2021,Transit,4391,0.682,
K2-335 b,K2-335,129.39,16.5221,557.993,2.21,5.52,12.2832,2021,Transit,6222,1.33,
Kepler-352 c,Kepler-352,299.897,46.0519,252.733,1.24,2.07,16.333,2014,Transit,5212,0.781,
Kepler-1175 b,Kepler-1175,289.143,46.813,1121.89,2.99,9.22,37.9456,2016,Transit,5453,0.86,
TOI-2453 b,TOI-2453,74.8375,12.9363,81.904,3.244,10.6,4.44143,2026,Transit,3720,0.502,
TOI-3523 A b,TOI-3523 A,304.283,42.9065,645.294,15.973,435.425,2.30459,2025,Transit,6450,1.448,
Kepler-1586 b,Kepler-1586,298.203,44.9259,552.55,1.52,2.92,15.6049,2016,Transit,6681,1.75,
TOI-1062 c,TOI-1062,38.121,-78.0237,82.173,3.1,9.78,7.972,2021,Radial Velocity,5328,0.84,G9 V
Kepler-30 b,Kepler-30,285.284,38.9473,914.221,3.9,11.3,29.3343,2012,Transit,5498,0.95,
Kepler-1285 b,Kepler-1285,281.835,44.1559,422.269,0.97,0.871,14.7967,2016,Transit,6170,1.28,
TOI-1230.01,TOI-1230,118.13,-83.8251,143.138,2.386,6.29,25.0573,2021,Transit,5696,1.153,
Kepler-103 c,Kepler-103,288.985,40.0645,494.832,5.454,58.47,179.61,2014,Transit,6047,1.492,G2
Kepler-433 b,Kepler-433,297.594,40.9772,1878.31,16.25,896.24,5.33408,2015,Transit,6360,2.26,
CoRoT-8 b,CoRoT-8,291.589,1.4263,322.037,6.39,69.92,6.21229,2010,Transit,5080,0.77,K1 V
Kepler-361 c,Kepler-361,296.803,46.7411,930.32,2.52,6.9,55.188,2014,Transit,6169,1.343,
TOI-5728 b,TOI-5728,260.351,67.5504,54.705,1.31,2.27,11.4976,2025,Transit,3419,0.37,
Kepler-568 b,Kepler-568,298.106,48.4016,130.645,2.26,5.73,11.0235,2016,Transit,3768,0.53,
Kepler-1923 b,Kepler-1923,298.083,40.3463,990.838,1.96,4.5,52.6097,2021,Transit,5881,1.294,
Kepler-1208 b,Kepler-1208,291.881,44.5558,825.176,2.32,5.99,11.0851,2016,Transit,5001,0.76,
Kepler-406 c,Kepler-406,291.848,44.9683,364.03,0.85,2.71,4.62332,2014,Transit,5538,1.07,
Kepler-1655 b,Kepler-1655,286.69,39.2121,213.26,2.213,5.4,11.8729,2018,Transit,6148,1.03,G0 V
HD 191939 g,HD 191939,302.026,66.8503,53.609,3.74,13.5,284,2022,Radial Velocity,5348,0.94,G9 V
HD 87816 c,HD 87816,151.53,-52.1879,133.233,12.4,3877.51,7596,2025,Radial Velocity,4989,9,K0 III
Kepler-185 c,Kepler-185,282.468,43.8899,466.735,2.02,4.74,20.729,2014,Transit,5208,0.806,
TOI-707 b,TOI-707,98.7296,-67.5373,130.959,2.416,6.42,52.7992,2026,Transit,5424,0.978,
Kepler-738 b,Kepler-738,287.57,46.5679,1113.65,2.5,6.8,24.5872,2016,Transit,5327,0.82,
Kepler-658 b,Kepler-658,282.984,47.5784,388.384,1.63,3.29,1.28708,2016,Transit,4103,0.6,
HD 235088 b,HD 235088,300.615,53.3774,41.171,1.982,4.15,7.43413,2023,Transit,5075,0.772,K V
Kepler-93 b,Kepler-93,291.418,38.6723,95.912,1.478,4.66,4.72674,2014,Transit,5669,0.919,
Kepler-596 b,Kepler-596,289.501,51.6857,1023.85,3.46,11.8,21.3002,2016,Transit,6267,1.32,
K2-174 b,K2-174,60.793,16.3472,99.929,2.6,7.27,19.5623,2018,Transit,4455,0.676,
Kepler-1357 b,Kepler-1357,291.548,50.3533,1015.69,1.28,2.18,3.00913,2016,Transit,5597,0.9,
Kepler-1807 b,Kepler-1807,291.549,44.5273,1299.32,2.704,7.77,10.8606,2021,Transit,6455,1.496,
GJ 3378 b,GJ 3378,90.2951,59.5932,7.723,1.32,2.3,21.45,2026,Radial Velocity,3340,0.275,M4 V
Kepler-256 b,Kepler-256,292.58,46.0974,1026.43,1.59,3.15,1.62049,2014,Transit,5551,1.301,
NGTS-31 b,NGTS-31,80.4213,-38.6568,497.376,18.046,355.968,4.16273,2025,Transit,5710,1.7,
TOI-2525 c,TOI-2525,86.851,-60.5213,395.398,10.133,208.813,49.2519,2023,Transit,5096,0.785,K8 V
Kepler-574 b,Kepler-574,290.247,52.1491,682.896,2.39,6.3,7.6588,2016,Transit,5612,0.91,
Kepler-1062 b,Kepler-1062,283.899,41.2216,397.455,1.76,3.75,9.30412,2016,Transit,4597,0.7,
HD 28185 c,HD 28185,66.6101,-10.5511,39.381,12.8,1906.97,9090,2022,Radial Velocity,5602,1.048,G5
K2-317 b,K2-317,228.619,-21.0227,176.291,2.93,8.91,6.22,2020,Transit,3387,0.379,
Kepler-1375 b,Kepler-1375,296.294,43.4032,1430.84,1.74,3.68,3.30042,2016,Transit,6704,1.78,
TOI-6478 b,TOI-6478,149.992,-16.1598,38.606,4.6,19.2,34.005,2025,Transit,3230,0.234,M4.0+/-0.5
Kepler-1338 b,Kepler-1338,284.042,41.699,753.26,0.92,0.721,0.93512,2016,Transit,5909,1.05,
WASP-59 b,WASP-59,349.623,24.8893,115.936,8.687,274.276,7.91958,2012,Transit,4650,0.613,K5 V
K2-63 c,K2-63,333.427,-12.0663,517.534,3.9,14.5,25.4556,2016,Transit,6771,1.63,
KOI-4978 b,KOI-4978,286.591,38.5583,936.341,0.7,0.271,0.94197,2024,Transit,5050,0.966,G
Kepler-1539 b,Kepler-1539,284.219,44.2685,748.326,2.7,7.75,133.304,2016,Transit,5176,0.8,
Kepler-614 b,Kepler-614,298.385,46.276,527.995,2.39,6.3,14.0349,2016,Transit,5268,0.81,
Kepler-257 c,Kepler-257,297.316,46.0233,780.256,5.41,25.2,6.58148,2014,Transit,5180,1.037,
TOI-5398 b,TOI-5398,161.88,36.3294,130.855,10.3,58.7,10.5906,2022,Transit,6000,1.051,G V
TOI-1820 b,TOI-1820,187.687,27.452,248.504,12.778,731.005,4.86067,2022,Transit,5734,1.51,
Kepler-1220 b,Kepler-1220,297.07,42.9777,961.907,1.52,2.92,7.42694,2016,Transit,5842,0.99,
TOI-938 b,TOI-938,63.0323,-12.1188,215.034,4.824,20.8,8.80734,2026,Transit,5829,0.985,
Kepler-192 d,Kepler-192,287.918,45.5929,651.674,1.02,1.04,6.47028,2016,Transit,5487,0.94,
Kepler-825 b,Kepler-825,294.77,39.3984,807.85,1.53,2.96,3.7736,2016,Transit,5976,1.08,
Kepler-1414 b,Kepler-1414,284.929,42.4223,570.835,1.23,2.04,3.51576,2016,Transit,4951,0.75,
HD 86950 b,HD 86950,150.407,-17.3331,209.839,13,1144.19,1270,2016,Radial Velocity,4805,8.8,K1 III
Kepler-1150 b,Kepler-1150,296.724,49.5327,358.518,1.02,1.04,2.78787,2016,Transit,4754,0.72,
Kepler-1765 b,Kepler-1765,298.014,42.9574,764.456,2.495,6.78,10.4189,2021,Transit,5692,1.064,
Kepler-831 b,Kepler-831,294.986,42.7277,593.54,1.27,2.15,5.62154,2016,Transit,5732,0.97,
K2-257 b,K2-257,188.278,-1.95329,64.007,0.83,0.498,1.60588,2018,Transit,3725,0.5,
Kepler-27 d,Kepler-27,292.237,41.0859,1044.36,2.706,7.78,6.54629,2021,Transit,5251,0.817,
HIP 29442 d,TOI-469,93.0578,-14.6493,68.192,1.538,5.14,6.42957,2023,Radial Velocity,5289,0.98,
Kepler-196 b,Kepler-196,284.969,42.0791,451.312,1.9,4.27,20.7399,2014,Transit,5128,0.782,
Kepler-806 b,Kepler-806,296.007,44.8536,361.896,1.14,1.55,8.0922,2016,Transit,5770,1.16,
Kepler-1854 b,Kepler-1854,286.286,37.387,423.348,2.587,7.21,39.8311,2021,Transit,5026,0.759,
TOI-5624 b,TOI-5624,180.844,49.2512,101.913,2.314,9.4,3.39035,2026,Transit,5327,0.82,
Kepler-739 b,Kepler-739,290.068,46.5791,1370.65,3.32,11,12.5325,2016,Transit,5601,0.9,
HD 204313 b,HD 204313,322.051,-21.7274,47.794,12.9,1466.78,2041.12,2010,Radial Velocity,5767,1.1,G5 V
Kepler-129 d,Kepler-129,285.311,47.8485,408.845,12.6,2637.98,2646,2021,Radial Velocity,5770,1.653,G4 V
Kepler-389 c,Kepler-389,291.96,44.9001,816.559,1.46,2.73,14.5114,2014,Transit,5376,0.792,
K2-158 c,K2-158,179.94,-5.72169,197.299,1.28,2.18,5.90279,2018,Transit,5503,0.95,
Kepler-864 c,Kepler-864,285.057,46.3206,2022.9,1.62,3.26,2.4215,2023,Transit,6213,1.195,
TOI-5800 b,TOI-5800,305.066,-7.41192,42.905,2.46,9.5,2.62788,2025,Transit,4850,0.773,K3 V
TOI-2803 A b,TOI-2803 A,93.1147,-23.4925,494.818,18.114,309.883,1.96229,2023,Transit,6280,1.245,
Kepler-1462 b,Kepler-1462,296.398,42.3969,1017.82,3.82,14,65.6488,2016,Transit,5756,1,
HD 191939 b,HD 191939,302.026,66.8503,53.609,3.41,10,8.88033,2020,Transit,5348,0.94,G9 V
HD 212771 b,HD 212771,336.762,-17.2641,111.155,13.3,759.614,380.7,2009,Radial Velocity,5003,5.27,G8 IV
Kepler-1695 b,Kepler-1695,293.619,46.4134,791.175,1.119,1.46,4.7329,2020,Transit,5473,0.987,
TOI-1782.02,TOI-1782,213.079,74.4118,95.265,1.839,4.04,1.82902,2024,Transit,4336,0.669,
WASP-119 b,WASP-119,55.9336,-65.1938,302.448,15.693,390.931,2.49979,2016,Transit,5650,1.2,G5
Kepler-893 b,Kepler-893,284.963,43.913,1285.59,3.03,9.43,6.33856,2016,Transit,5820,0.99,
Kepler-1487 c,Kepler-1487,295.498,38.6444,1014.62,7.97,48.7,35.8007,2023,Transit,5745,3.955,
KOI-7913 b,KOI-7913 A,286.749,45.1587,271.277,2.34,6.08,24.2785,2022,Transit,4324,0.788,K6 V
TOI-1472 c,TOI-1472,14.1143,48.6375,121.84,3.334,21.13,15.5382,2025,Radial Velocity,5100,0.84,
Kepler-1239 b,Kepler-1239,293.127,42.3201,2140.6,2.9,8.75,5.19104,2016,Transit,6564,1.57,
Kepler-1902 b,Kepler-1902,292.738,42.0148,344.337,1.176,1.74,3.82222,2021,Transit,3729,0.514,
Kepler-297 b,Kepler-297,283.209,48.7776,692.14,2.87,48.5,38.8718,2014,Transit,5619,0.915,
Kepler-351 d,Kepler-351,286.453,42.6578,1083.91,2.72,7.85,142.544,2016,Transit,5225,0.78,
K2-136 d,K2-136,67.4129,22.8826,59.247,1.565,3,25.575,2017,Transit,4500,0.677,K5.5
Kepler-789 b,Kepler-789,295.975,38.9466,1480.16,2.12,5.14,8.63848,2016,Transit,5870,1.02,
K2-279 b,K2-279,204.779,-6.04176,182.983,1.21,1.92,7.12261,2018,Transit,5558,0.86,
nu Oph c,nu Oph,269.757,-9.77413,46.211,12,7838.32,3180.6,2012,Radial Velocity,4887,12.24,K0 III
KOI-1599.02,KOI-1599,298.374,40.6185,1131.64,1.9,9,13.6088,2019,Transit,5833,0.972,
HD 109833 b,HD 109833,189.776,-74.574,79.556,2.888,8.69,9.18853,2022,Transit,5881,1,
HIP 71135 b,HIP 71135,218.216,-52.6465,32.331,4.55,18.8,87.19,2019,Radial Velocity,4146,0.681,M1
K2-147 b,K2-147,293.833,-28.4985,90.549,1.473,2.77,0.96194,2018,Transit,3690,0.578,
Kepler-11 d,Kepler-11,297.115,41.9091,646.346,3.12,7.3,22.6845,2010,Transit,5663,1.065,
K2-131 b,K2-131,182.751,-9.76524,152.509,1.69,7.9,0.3693,2017,Transit,5120,0.759,
Kepler-218 d,Kepler-218,295.413,46.2666,656.38,2.66,7.56,124.524,2016,Transit,5542,1.02,
TOI-6054.01,TOI-6054,56.337,60.3509,79.407,2.64,12.5,7.50143,2024,Transit,6047,1.662,
Kepler-1937 b,Kepler-1937,290.658,40.7785,905.069,3.023,9.39,9.6886,2021,Transit,6457,1.196,
HAT-P-56 b,HAT-P-56,100.848,27.2522,320.639,16.926,734.187,2.79083,2015,Transit,6566,1.47,F8
HD 8574 b,HD 8574,21.3034,28.566,44.826,13.4,645.195,227,2002,Radial Velocity,6064,1.38,F8
HATS-71 b,HATS-71,15.5519,-61.7561,140.225,11.478,117.597,3.79552,2020,Transit,3405,0.478,M3 V
K2-341 b,K2-341,130.497,19.9166,421.408,3.21,10.4,36.5525,2021,Transit,5817,1.16,
GJ 1061 b,GJ 1061,54.0033,-44.5143,3.673,1.04,1.11,3.2073,2020,Radial Velocity,2953,0.156,M5.5 V
Kepler-102 b,Kepler-102,281.482,47.2078,107.796,0.46,1.1,5.28697,2014,Transit,4909,0.724,
Kepler-731 b,Kepler-731,296.393,45.5685,1257.16,13.88,,3.8556,2016,Transit,5849,1.06,
K2-194 b,K2-194,204.609,-8.92716,629.51,3.642,12.9,39.7214,2018,Transit,5979,1.281,
Kepler-915 b,Kepler-915,290.592,45.7372,849.036,1.5,2.86,4.5949,2016,Transit,6173,1.38,
TIC 241249530 b,TIC 241249530,95.3089,53.295,324.448,13.294,1582.79,165.772,2024,Transit,6166,1.397,
TOI-5795 b,TOI-5795,304.869,-7.54766,156.53,5.62,23.66,6.14063,2025,Transit,5715,1.082,G3 V
K2-196 b,K2-196,200.456,-8.47171,584.877,3.6,12.6,48.3242,2018,Transit,6045,1.539,
Kepler-1315 b,Kepler-1315,295.822,46.0531,480.869,1.38,2.48,0.84338,2016,Transit,4861,0.75,
Kepler-93 c,Kepler-93,291.418,38.6723,95.912,,954,1460,2014,Radial Velocity,5669,0.92,
TOI-5599 b,TOI-5599,199.326,55.6815,547.948,7.189,40.9,5.43692,2026,Transit,6137,1.913,
Kepler-1912 b,Kepler-1912,282.118,46.224,297.017,1.357,2.41,6.05922,2021,Transit,5734,0.962,
TOI-1260 c,TOI-1260,157.144,65.8542,73.598,2.76,13.2,7.49313,2021,Transit,4227,0.672,K6 V
Kepler-306 e,Kepler-306,288.539,40.6161,775.679,2.27,5.77,44.841,2014,Transit,4954,0.719,
K2-396 b,K2-396,74.6929,17.2691,274.864,1.579,3.12,0.67386,2022,Transit,5236,0.92,G9
HD 10442 b,HD 10442,25.4715,2.70442,135.374,13.6,472.613,1032.3,2014,Radial Velocity,4912,1.97,K0 IV
Kepler-198 c,Kepler-198,290.673,38.691,495.358,2.47,6.66,49.5674,2014,Transit,5574,0.94,
Kepler-129 b,Kepler-129,285.311,47.8485,408.845,2.4,20,15.79,2014,Transit,5770,1.653,G4 V
Kepler-1549 b,Kepler-1549,286.052,39.096,803.052,2.57,7.13,214.887,2016,Transit,5324,0.84,
HD 8326 b,HD 8326,20.5314,-26.8941,30.686,9.58,66.6,158.991,2019,Radial Velocity,4914,0.783,K2 V
Kepler-1800 b,Kepler-1800,297.651,40.3524,350.455,0.997,0.961,4.56203,2021,Transit,5343,2.506,
TOI-1742 b,TOI-1742,257.329,71.8767,72.887,2.365,9.7,21.2691,2024,Transit,5815,1.131,
BD+45 564 b,BD+45 564,32.947,45.9242,53.622,13.6,432.247,307.88,2021,Radial Velocity,5004,0.813,K1
HD 11343 c,HIP 8541,27.5272,-54.4652,155.121,13.9,255.534,228.537,2022,Radial Velocity,4672,6.84,K2 III/IV
TOI-2295 b,TOI-2295,281.576,50.4925,126.279,16.477,278.1,30.0333,2024,Transit,5730,1.459,
Kepler-656 c,Kepler-656,288.328,47.3815,890.352,1.41,2.57,5.25449,2023,Transit,5550,0.954,
Kepler-1941 b,Kepler-1941,296.627,49.3539,1494.39,2.65,7.51,31.3351,2021,Transit,6404,1.142,
Kepler-1311 d,Kepler-1311,289.651,43.8244,866.331,9.658,67.5,197.511,2021,Transit,5616,1.674,
Kepler-1316 b,Kepler-1316,298.836,40.2931,800.871,3.54,12.3,87.9732,2016,Transit,5884,1.12,
TOI-6954 b,TOI-6954,168.324,-2.78776,190.042,3.635,12.8,4.02074,2026,Transit,5171,0.947,
Kepler-256 d,Kepler-256,292.58,46.0974,1026.43,2.48,6.71,5.83917,2014,Transit,5551,1.301,
K2-90 c,K2-90,59.1527,22.4724,134.188,1.3,2.24,2.90071,2016,Transit,4422,0.635,
HD 11506 d,HD 11506,28.2107,-19.5074,51.261,12.3,4068.2,26500,2022,Radial Velocity,6123,1.24,G0 V
Kepler-1118 b,Kepler-1118,299.966,44.1609,888.325,2.74,7.95,38.6715,2016,Transit,5688,0.97,
K2-247 c,K2-247,188.894,-10.0693,258.113,2.19,5.43,6.49424,2018,Transit,4667,0.69,
K2-322 b,K2-322,156.623,4.76402,123.415,1.92,4.35,8.205,2020,Transit,4141,0.602,
HD 141004 b,HD 141004,236.61,7.35277,11.815,3.77,13.635,15.5083,2021,Radial Velocity,5885,1.389,G0Vvar
Kepler-168 c,Kepler-168,294.71,39.825,1343.6,2.69,7.7,13.1932,2014,Transit,6282,1.107,
TOI-4155 b,TOI-4155,325.636,77.7344,240.737,3.21,10.4,3.32073,2025,Transit,5724,0.95,
GJ 9689 b,GJ 9689,303.468,13.3889,30.62,3.07,9.65,18.27,2020,Radial Velocity,3836,0.57,M0.5
Kepler-169 d,Kepler-169,286,40.9194,406.529,1.25,2.1,8.34812,2014,Transit,4997,0.763,
Kepler-191 d,Kepler-191,291.183,45.3231,594.464,2.28,5.82,5.94504,2016,Transit,5215,0.8,
K2-8 b,K2-8,169.794,-0.28444,403.513,3.58,12.5,10.3524,2015,Transit,4870,0.74,K3 V
HATS-33 b,HATS-33,294.634,-55.3303,248.46,13.787,378.853,2.54956,2016,Transit,5659,1.022,
Kepler-1464 b,Kepler-1464,287.236,38.7541,1151.73,1.66,3.39,31.7786,2016,Transit,5828,1.01,
